Key,incident_nb,DateTime_Out
Caserne 13 Grid0_0,8,2018-01-01
Caserne 13 Grid0_0,3,2019-01-01
Caserne 13 Grid0_0,5,2020-01-01
Caserne 13 Grid0_0,6,2021-01-01
Caserne 13 Grid0_1,86,2015-01-01
Caserne 13 Grid0_1,59,2016-01-01
Caserne 13 Grid0_1,75,2017-01-01
Caserne 13 Grid0_1,87,2018-01-01
Caserne 13 Grid0_1,57,2019-01-01
Caserne 13 Grid0_1,86,2020-01-01
Caserne 13 Grid0_1,63,2021-01-01
Caserne 13 Grid0_1,28,2022-01-01
Caserne 13 Grid0_2,1,2015-01-01
Caserne 13 Grid0_2,2,2017-01-01
Caserne 13 Grid0_2,2,2019-01-01
Caserne 13 Grid0_2,1,2021-01-01
Caserne 13 Grid1_0,58,2015-01-01
Caserne 13 Grid1_0,49,2016-01-01
Caserne 13 Grid1_0,58,2017-01-01
Caserne 13 Grid1_0,46,2018-01-01
Caserne 13 Grid1_0,54,2019-01-01
Caserne 13 Grid1_0,50,2020-01-01
Caserne 13 Grid1_0,47,2021-01-01
Caserne 13 Grid1_0,16,2022-01-01
Caserne 13 Grid1_1,24,2015-01-01
Caserne 13 Grid1_1,29,2016-01-01
Caserne 13 Grid1_1,29,2017-01-01
Caserne 13 Grid1_1,35,2018-01-01
Caserne 13 Grid1_1,33,2019-01-01
Caserne 13 Grid1_1,32,2020-01-01
Caserne 13 Grid1_1,30,2021-01-01
Caserne 13 Grid1_1,17,2022-01-01
Caserne 14 Grid0_2,14,2015-01-01
Caserne 14 Grid0_2,11,2016-01-01
Caserne 14 Grid0_2,28,2017-01-01
Caserne 14 Grid0_2,36,2018-01-01
Caserne 14 Grid0_2,26,2019-01-01
Caserne 14 Grid0_2,21,2020-01-01
Caserne 14 Grid0_2,22,2021-01-01
Caserne 14 Grid0_2,19,2022-01-01
Caserne 14 Grid1_1,15,2015-01-01
Caserne 14 Grid1_1,10,2016-01-01
Caserne 14 Grid1_1,15,2017-01-01
Caserne 14 Grid1_1,23,2018-01-01
Caserne 14 Grid1_1,17,2019-01-01
Caserne 14 Grid1_1,16,2020-01-01
Caserne 14 Grid1_1,12,2021-01-01
Caserne 14 Grid1_1,2,2022-01-01
Caserne 14 Grid1_2,16,2015-01-01
Caserne 14 Grid1_2,22,2016-01-01
Caserne 14 Grid1_2,19,2017-01-01
Caserne 14 Grid1_2,24,2018-01-01
Caserne 14 Grid1_2,17,2019-01-01
Caserne 14 Grid1_2,15,2020-01-01
Caserne 14 Grid1_2,25,2021-01-01
Caserne 14 Grid1_2,12,2022-01-01
Caserne 14 Grid1_3,16,2015-01-01
Caserne 14 Grid1_3,16,2016-01-01
Caserne 14 Grid1_3,11,2017-01-01
Caserne 14 Grid1_3,8,2018-01-01
Caserne 14 Grid1_3,11,2019-01-01
Caserne 14 Grid1_3,16,2020-01-01
Caserne 14 Grid1_3,15,2021-01-01
Caserne 14 Grid1_3,4,2022-01-01
Caserne 14 Grid1_4,4,2015-01-01
Caserne 14 Grid1_4,6,2016-01-01
Caserne 14 Grid1_4,9,2017-01-01
Caserne 14 Grid1_4,34,2018-01-01
Caserne 14 Grid1_4,22,2019-01-01
Caserne 14 Grid1_4,9,2020-01-01
Caserne 14 Grid1_4,10,2021-01-01
Caserne 14 Grid1_4,3,2022-01-01
Caserne 14 Grid2_0,4,2015-01-01
Caserne 14 Grid2_0,6,2016-01-01
Caserne 14 Grid2_0,4,2017-01-01
Caserne 14 Grid2_0,6,2018-01-01
Caserne 14 Grid2_0,8,2019-01-01
Caserne 14 Grid2_0,3,2020-01-01
Caserne 14 Grid2_0,3,2021-01-01
Caserne 14 Grid2_0,4,2022-01-01
Caserne 14 Grid2_1,15,2015-01-01
Caserne 14 Grid2_1,30,2016-01-01
Caserne 14 Grid2_1,19,2017-01-01
Caserne 14 Grid2_1,38,2018-01-01
Caserne 14 Grid2_1,27,2019-01-01
Caserne 14 Grid2_1,18,2020-01-01
Caserne 14 Grid2_1,26,2021-01-01
Caserne 14 Grid2_1,9,2022-01-01
Caserne 14 Grid2_2,51,2015-01-01
Caserne 14 Grid2_2,27,2016-01-01
Caserne 14 Grid2_2,32,2017-01-01
Caserne 14 Grid2_2,36,2018-01-01
Caserne 14 Grid2_2,40,2019-01-01
Caserne 14 Grid2_2,37,2020-01-01
Caserne 14 Grid2_2,26,2021-01-01
Caserne 14 Grid2_2,10,2022-01-01
Caserne 14 Grid2_3,8,2015-01-01
Caserne 14 Grid2_3,5,2016-01-01
Caserne 14 Grid2_3,10,2017-01-01
Caserne 14 Grid2_3,13,2018-01-01
Caserne 14 Grid2_3,13,2019-01-01
Caserne 14 Grid2_3,19,2020-01-01
Caserne 14 Grid2_3,17,2021-01-01
Caserne 14 Grid2_3,2,2022-01-01
Caserne 14 Grid2_4,1,2015-01-01
Caserne 14 Grid2_4,2,2016-01-01
Caserne 14 Grid2_4,1,2018-01-01
Caserne 14 Grid2_4,1,2020-01-01
Caserne 14 Grid2_4,1,2021-01-01
Caserne 14 Grid3_0,1,2016-01-01
Caserne 14 Grid3_0,2,2017-01-01
Caserne 14 Grid3_0,2,2019-01-01
Caserne 14 Grid3_0,2,2021-01-01
Caserne 14 Grid3_0,4,2022-01-01
Caserne 14 Grid3_1,17,2015-01-01
Caserne 14 Grid3_1,14,2016-01-01
Caserne 14 Grid3_1,16,2017-01-01
Caserne 14 Grid3_1,12,2018-01-01
Caserne 14 Grid3_1,13,2019-01-01
Caserne 14 Grid3_1,11,2020-01-01
Caserne 14 Grid3_1,13,2021-01-01
Caserne 14 Grid3_1,3,2022-01-01
Caserne 14 Grid3_2,10,2015-01-01
Caserne 14 Grid3_2,11,2016-01-01
Caserne 14 Grid3_2,6,2017-01-01
Caserne 14 Grid3_2,6,2018-01-01
Caserne 14 Grid3_2,3,2019-01-01
Caserne 14 Grid3_2,7,2020-01-01
Caserne 14 Grid3_2,4,2021-01-01
Caserne 14 Grid3_2,5,2022-01-01
Caserne 14 Grid3_3,1,2015-01-01
Caserne 14 Grid3_3,1,2018-01-01
Caserne 14 Grid3_3,4,2019-01-01
Caserne 14 Grid3_3,1,2020-01-01
Caserne 14 Grid3_3,4,2021-01-01
Caserne 14 Grid4_1,4,2015-01-01
Caserne 14 Grid4_1,4,2016-01-01
Caserne 14 Grid4_1,1,2018-01-01
Caserne 14 Grid4_1,4,2020-01-01
Caserne 14 Grid4_1,1,2021-01-01
Caserne 14 Grid4_1,1,2022-01-01
Caserne 14 Grid4_2,1,2017-01-01
Caserne 14 Grid4_2,1,2018-01-01
Caserne 14 Grid4_2,1,2020-01-01
Caserne 15 Grid0_1,38,2015-01-01
Caserne 15 Grid0_1,45,2016-01-01
Caserne 15 Grid0_1,23,2017-01-01
Caserne 15 Grid0_1,34,2018-01-01
Caserne 15 Grid0_1,32,2019-01-01
Caserne 15 Grid0_1,22,2020-01-01
Caserne 15 Grid0_1,31,2021-01-01
Caserne 15 Grid0_1,10,2022-01-01
Caserne 15 Grid0_2,3,2016-01-01
Caserne 15 Grid0_2,1,2017-01-01
Caserne 15 Grid0_2,3,2018-01-01
Caserne 15 Grid0_2,1,2019-01-01
Caserne 15 Grid0_2,1,2020-01-01
Caserne 15 Grid0_2,2,2021-01-01
Caserne 15 Grid0_2,1,2022-01-01
Caserne 15 Grid1_0,27,2015-01-01
Caserne 15 Grid1_0,33,2016-01-01
Caserne 15 Grid1_0,18,2017-01-01
Caserne 15 Grid1_0,27,2018-01-01
Caserne 15 Grid1_0,28,2019-01-01
Caserne 15 Grid1_0,27,2020-01-01
Caserne 15 Grid1_0,21,2021-01-01
Caserne 15 Grid1_0,12,2022-01-01
Caserne 15 Grid1_1,97,2015-01-01
Caserne 15 Grid1_1,71,2016-01-01
Caserne 15 Grid1_1,73,2017-01-01
Caserne 15 Grid1_1,62,2018-01-01
Caserne 15 Grid1_1,77,2019-01-01
Caserne 15 Grid1_1,89,2020-01-01
Caserne 15 Grid1_1,85,2021-01-01
Caserne 15 Grid1_1,34,2022-01-01
Caserne 15 Grid1_2,1,2015-01-01
Caserne 15 Grid1_2,3,2016-01-01
Caserne 15 Grid1_2,2,2018-01-01
Caserne 15 Grid1_2,6,2019-01-01
Caserne 15 Grid1_2,1,2021-01-01
Caserne 15 Grid2_0,12,2015-01-01
Caserne 15 Grid2_0,13,2016-01-01
