Key,Count,quarter
Caserne 08 Grid0_0,4,2019 Q3
Caserne 08 Grid0_0,1,2019 Q4
Caserne 08 Grid0_0,3,2020 Q1
Caserne 08 Grid0_0,3,2020 Q4
Caserne 08 Grid0_0,1,2021 Q4
Caserne 08 Grid0_1,1,2015 Q2
Caserne 08 Grid0_1,2,2015 Q3
Caserne 08 Grid0_1,1,2016 Q1
Caserne 08 Grid0_1,1,2017 Q2
Caserne 08 Grid0_1,3,2017 Q4
Caserne 08 Grid0_1,3,2018 Q1
Caserne 08 Grid0_1,1,2018 Q3
Caserne 08 Grid0_1,1,2019 Q1
Caserne 08 Grid0_1,1,2020 Q1
Caserne 08 Grid0_1,1,2020 Q2
Caserne 08 Grid0_1,3,2022 Q2
Caserne 08 Grid1_0,2,2015 Q3
Caserne 08 Grid1_0,1,2016 Q3
Caserne 08 Grid1_0,1,2017 Q3
Caserne 08 Grid1_0,7,2019 Q2
Caserne 08 Grid1_0,3,2022 Q2
Caserne 08 Grid1_2,1,2017 Q4
Caserne 08 Grid1_2,1,2018 Q3
Caserne 08 Grid1_2,1,2018 Q4
Caserne 08 Grid1_2,2,2019 Q2
Caserne 08 Grid1_2,1,2020 Q2
Caserne 08 Grid1_2,1,2020 Q3
Caserne 08 Grid1_2,1,2021 Q2
Caserne 08 Grid2_0,2,2016 Q3
Caserne 08 Grid2_0,1,2017 Q1
Caserne 08 Grid2_0,1,2017 Q4
Caserne 08 Grid2_0,1,2018 Q2
Caserne 08 Grid2_0,2,2019 Q3
Caserne 08 Grid2_0,1,2019 Q4
Caserne 08 Grid2_0,1,2020 Q1
Caserne 08 Grid2_0,1,2020 Q3
Caserne 08 Grid2_0,2,2021 Q1
Caserne 08 Grid2_0,1,2021 Q2
Caserne 08 Grid2_1,1,2015 Q4
Caserne 08 Grid2_1,1,2016 Q2
Caserne 08 Grid2_1,1,2016 Q3
Caserne 08 Grid2_1,1,2018 Q3
Caserne 08 Grid2_1,1,2019 Q2
Caserne 08 Grid2_1,2,2020 Q1
Caserne 08 Grid2_1,1,2020 Q4
Caserne 08 Grid2_1,1,2021 Q1
Caserne 08 Grid2_1,1,2021 Q2
Caserne 08 Grid2_1,2,2021 Q3
Caserne 08 Grid2_1,2,2021 Q4
Caserne 08 Grid3_1,1,2015 Q1
Caserne 08 Grid3_1,2,2015 Q2
Caserne 08 Grid3_1,2,2015 Q3
Caserne 08 Grid3_1,1,2015 Q4
Caserne 08 Grid3_1,1,2016 Q1
Caserne 08 Grid3_1,2,2016 Q3
Caserne 08 Grid3_1,5,2017 Q1
Caserne 08 Grid3_1,1,2017 Q4
Caserne 08 Grid3_1,1,2018 Q4
Caserne 08 Grid3_1,1,2019 Q3
Caserne 08 Grid3_1,3,2019 Q4
Caserne 08 Grid3_1,3,2020 Q1
Caserne 08 Grid3_1,8,2020 Q3
Caserne 08 Grid3_1,1,2020 Q4
Caserne 08 Grid3_1,3,2021 Q1
Caserne 08 Grid3_1,1,2022 Q2
Caserne 08 Grid3_2,4,2015 Q2
Caserne 08 Grid3_2,1,2015 Q4
Caserne 08 Grid3_2,2,2017 Q4
Caserne 08 Grid3_2,1,2018 Q1
Caserne 08 Grid3_2,3,2018 Q4
Caserne 08 Grid3_2,1,2019 Q4
Caserne 08 Grid3_2,1,2021 Q2
Caserne 08 Grid3_2,1,2021 Q4
Caserne 08 Grid3_3,1,2015 Q2
Caserne 08 Grid3_3,1,2015 Q3
Caserne 08 Grid3_3,1,2015 Q4
Caserne 08 Grid3_3,3,2016 Q2
Caserne 08 Grid3_3,1,2016 Q3
Caserne 08 Grid3_3,1,2017 Q1
Caserne 08 Grid3_3,1,2017 Q4
Caserne 08 Grid3_3,1,2018 Q2
Caserne 08 Grid3_3,2,2020 Q2
Caserne 08 Grid3_3,1,2021 Q3
Caserne 08 Grid3_3,1,2021 Q4
Caserne 08 Grid4_1,2,2015 Q1
Caserne 08 Grid4_1,8,2015 Q2
Caserne 08 Grid4_1,9,2015 Q3
Caserne 08 Grid4_1,6,2015 Q4
Caserne 08 Grid4_1,6,2016 Q1
Caserne 08 Grid4_1,8,2016 Q2
Caserne 08 Grid4_1,4,2016 Q3
Caserne 08 Grid4_1,5,2016 Q4
Caserne 08 Grid4_1,6,2017 Q1
Caserne 08 Grid4_1,5,2017 Q2
Caserne 08 Grid4_1,2,2017 Q3
Caserne 08 Grid4_1,7,2017 Q4
Caserne 08 Grid4_1,7,2018 Q1
