NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,GEO_UID,DA_NAME,Population,Pop__Densi,Appart_in_,Income___T,Income___2,Income___3,Housing___,Education_,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
Caserne 50,50,310,6.108486,-73.569336,45.567629,Grid0_0,Caserne 50 Grid0_0,24661704,1704,609,12107.4,0,500,100,67.7,295,475,24661704,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620197.00,0197.00,24660054
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24661663,1663,569,4123.2,110,470,100,51.9,345,480,24661663,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620202.00,0202.00,24660067
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24661980,1980,538,12658.8,0,470,100,75.4,320,500,24661980,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620204.00,0204.00,24660082
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24662091,2091,444,4567.9,0,385,100,74.7,245,350,24662091,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620202.00,0202.00,24660067
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24662092,2092,606,16334.2,0,515,100,75.2,335,525,24662092,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620183.00,0183.00,24660080
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24661995,1995,697,14195.5,0,610,100,73.7,385,615,24661995,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620184.00,0184.00,24660070
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24662090,2090,698,7603.5,0,600,100,73.3,350,555,24662090,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620202.00,0202.00,24660067
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24662089,2089,1313,3893.8,265,920,100,57.3,655,930,24662089,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620201.00,0201.00,24660067
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24661992,1992,533,16920.6,55,475,100,74.9,310,455,24661992,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620183.00,0183.00,24660080
Caserne 29,29,311,4.060214,-73.57015,45.549234,Grid0_0,Caserne 29 Grid0_0,24661994,1994,467,15261.4,0,405,100,69.1,260,415,24661994,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620184.00,0184.00,24660070
